trade_date,fetched_at,ticker,pct_change,premkt_price,pre_volume,market_cap,is_baseline
2026-09-25,2026-09-25T06:40:17.356656-04:00,INLF,84.41,5.44,8037537.0,203.64K,1
2026-09-25,2026-09-25T06:40:17.356656-04:00,APUS,30.69,6.43,4463316.0,7.42M,1
2026-09-25,2026-09-25T06:40:17.356656-04:00,SUGP,30.21,0.61,18351312.0,758.72K,1
2026-09-25,2026-09-25T06:40:17.356656-04:00,IFBD,23.89,1.4,1194536.0,9.25M,1
2026-09-25,2026-09-25T06:40:17.356656-04:00,FTHM,22.99,0.64,13890252.0,17.76M,1
2026-09-25,2026-09-25T06:40:17.356656-04:00,AKAM,21.19,133.8,207498.0,15.87B,1
2026-09-25,2026-09-25T06:40:17.356656-04:00,ONCO,19.11,1.09,4581980.0,3.60M,1
2026-09-25,2026-09-25T06:40:17.356656-04:00,REED,14.83,0.75,,7.72M,1
2026-09-25,2026-09-25T06:40:17.356656-04:00,GLND,13.83,6.09,8167588.0,233.96M,1
2026-09-25,2026-09-25T06:40:17.356656-04:00,CTNT,13.71,0.04,321021730.0,101.42K,1
2026-09-25,2026-09-25T06:42:17.638602-04:00,INLF,86.44,5.5,8079920.0,203.64K,1
2026-09-25,2026-09-25T06:42:17.638602-04:00,SUGP,34.06,0.63,19639649.0,758.72K,1
2026-09-25,2026-09-25T06:42:17.638602-04:00,APUS,29.88,6.39,4489456.0,7.42M,1
2026-09-25,2026-09-25T06:42:17.638602-04:00,IFBD,23.89,1.4,1201889.0,9.25M,1
2026-09-25,2026-09-25T06:42:17.638602-04:00,FTHM,22.99,0.64,13890252.0,17.76M,1
2026-09-25,2026-09-25T06:42:17.638602-04:00,AKAM,21.19,133.8,207498.0,15.87B,1
2026-09-25,2026-09-25T06:42:17.638602-04:00,ONCO,18.56,1.08,4641585.0,3.60M,1
2026-09-25,2026-09-25T06:42:17.638602-04:00,REED,14.83,0.75,,7.72M,1
2026-09-25,2026-09-25T06:42:17.638602-04:00,CTNT,14.02,0.04,321686444.0,101.42K,1
